State/UT,District,Year,MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,ROBBERY,BURGLARY,RIOTS,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL CRIMES
UTTARAKHAND,HARIDWAR,2005,7,0,5,9,8,1,0,21,19,0,0,0,33,360,454
UTTARAKHAND,HARIDWAR,2005,27,3,6,63,55,8,2,82,118,0,0,0,22,346,669
UTTARAKHAND,HARIDWAR,2005,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3
UTTARAKHAND,HARIDWAR,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UTTARAKHAND,HARIDWAR,2005,66,1,7,14,14,0,0,43,24,0,1,0,27,302,485
UTTARAKHAND,HARIDWAR,2005,13,1,5,39,38,1,7,35,52,0,0,0,11,198,361
UTTARAKHAND,HARIDWAR,2005,17,1,10,30,27,3,6,32,41,0,1,0,1,205,344
UTTARAKHAND,HARIDWAR,2005,22,9,20,42,40,2,1,180,69,4,28,0,149,1939,2463
UTTARAKHAND,HARIDWAR,2005,0,0,1,2,2,0,0,5,2,0,0,0,9,60,79
WEST BENGAL,HOOGHLY,2005,0,0,0,0,0,0,6,3,4,0,0,0,0,22,35
WEST BENGAL,HOOGHLY,2005,41,6,38,23,11,12,79,258,563,2,270,0,8,6287,7575
WEST BENGAL,HOOGHLY,2005,8,5,10,21,9,12,91,284,325,0,92,0,0,2681,3517
WEST BENGAL,HOOGHLY,2005,30,12,36,22,15,7,95,423,602,2,294,0,3,4520,6039
WEST BENGAL,HOOGHLY,2005,9,0,33,6,2,4,12,140,182,1,93,0,0,776,1252
WEST BENGAL,HOOGHLY,2005,388,88,478,226,129,97,621,4110,6535,21,3283,0,34,57530,73314
WEST BENGAL,HOOGHLY,2005,25,0,31,7,5,2,18,94,9,5,29,0,10,827,1055
WEST BENGAL,HOOGHLY,2005,36,5,47,7,6,1,10,102,30,9,30,0,36,632,944
WEST BENGAL,HOOGHLY,2005,65,1,58,10,6,4,7,140,48,4,34,0,75,1553,1995
WEST BENGAL,HOOGHLY,2005,43,4,41,5,5,0,7,121,33,2,14,0,104,1314,1688
WEST BENGAL,HOOGHLY,2005,66,1,136,14,12,2,13,178,4,22,74,0,83,1595,2186
WEST BENGAL,HOOGHLY,2005,97,0,29,21,9,12,56,192,117,28,41,0,114,1912,2607
WEST BENGAL,HOWRAH,2005,62,3,32,30,20,10,70,214,181,27,74,0,135,2092,2920
WEST BENGAL,HOWRAH,2005,34,6,65,2,1,1,17,76,21,21,52,0,85,692,1071
WEST BENGAL,HOWRAH,2005,13,2,27,9,3,6,16,148,26,1,41,0,58,673,1014
WEST BENGAL,HOWRAH,2005,32,0,33,12,4,8,13,117,16,14,13,1,39,875,1165
WEST BENGAL,HOWRAH,2005,46,0,97,14,14,0,20,136,70,8,57,0,92,2031,2571
WEST BENGAL,HOWRAH,2005,26,0,75,19,15,4,22,154,140,4,92,0,89,2741,3362
WEST BENGAL,HOWRAH,2005,47,3,74,13,10,3,27,148,29,10,56,0,105,2297,2809
WEST BENGAL,HOWRAH,2005,53,1,64,26,15,11,42,464,74,42,39,0,126,1480,2411
WEST BENGAL,HOWRAH,2005,76,0,110,31,21,10,49,445,86,34,127,0,141,2694,3793
WEST BENGAL,HOWRAH,2005,78,3,75,18,3,15,44,396,43,34,66,0,202,2571,3530
WEST BENGAL,HOWRAH,2005,23,4,57,10,8,2,10,107,24,22,37,0,96,1399,1789
WEST BENGAL,HOWRAH,2005,44,3,43,6,5,1,21,240,21,13,57,0,0,1390,1838
WEST BENGAL,HOWRAH CITY,2005,31,1,73,15,10,5,58,221,73,6,64,0,96,895,1533
WEST BENGAL,HOWRAH CITY,2005,13,0,21,4,1,3,6,53,27,1,24,0,28,549,726
WEST BENGAL,HOWRAH CITY,2005,73,0,58,22,19,3,30,142,52,2,30,0,85,2248,2742
WEST BENGAL,HOWRAH CITY,2005,50,7,47,22,21,1,12,327,29,23,42,0,119,1847,2525
WEST BENGAL,HOWRAH CITY,2005,42,1,73,11,10,1,13,143,39,14,45,0,126,1570,2077
WEST BENGAL,HOWRAH CITY,2005,47,1,40,15,6,9,23,189,45,18,28,0,67,922,1395
WEST BENGAL,HOWRAH CITY,2005,55,0,74,28,14,14,91,447,72,17,173,1,125,3953,5036
WEST BENGAL,HOWRAH G.R.P.,2005,18,27,34,3,0,3,8,95,11,1,19,0,8,604,828
WEST BENGAL,HOWRAH G.R.P.,2005,43,2,97,15,14,1,31,219,74,27,45,0,56,1910,2519
WEST BENGAL,HOWRAH G.R.P.,2005,2405,134,2921,847,604,243,1557,11192,2573,739,2989,3,4593,91951,121904
WEST BENGAL,HOWRAH G.R.P.,2005,92,1,56,33,25,8,84,392,206,0,338,0,474,1373,3049
WEST BENGAL,HOWRAH G.R.P.,2005,46,2,21,24,22,2,56,285,136,3,184,0,88,1396,2241
WEST BENGAL,HOWRAH G.R.P.,2005,30,2,23,11,8,3,15,169,83,2,57,0,57,777,1226
WEST BENGAL,HOWRAH G.R.P.,2005,78,2,60,18,16,2,21,241,93,10,132,0,140,886,1681
WEST BENGAL,HOWRAH G.R.P.,2005,22,0,26,12,10,2,55,183,123,2,93,0,136,647,1299
WEST BENGAL,HOWRAH G.R.P.,2005,46,1,9,6,4,2,30,124,195,26,263,0,202,559,1461
WEST BENGAL,HOWRAH G.R.P.,2005,62,1,25,26,18,8,67,305,417,7,275,0,198,752,2135
WEST BENGAL,HOWRAH G.R.P.,2005,27,3,15,17,14,3,12,175,52,3,67,0,113,886,1370
WEST BENGAL,HOWRAH G.R.P.,2005,51,0,42,23,16,7,33,181,163,53,187,0,136,1282,2151
WEST BENGAL,JALPAIGURI,2005,142,43,51,89,86,3,57,104,70,70,142,0,187,402,1357
WEST BENGAL,JALPAIGURI,2005,24,19,8,7,5,2,5,29,10,10,11,0,95,81,299
WEST BENGAL,JALPAIGURI,2005,17,7,1,2,2,0,13,41,25,8,31,0,48,66,259
WEST BENGAL,JALPAIGURI,2005,57,36,16,33,24,9,21,71,20,14,38,0,77,353,736
WEST BENGAL,JALPAIGURI,2005,102,50,35,54,43,11,25,70,51,40,72,0,47,614,1160
WEST BENGAL,JALPAIGURI,2005,73,27,8,34,19,15,38,99,50,19,44,0,45,610,1047
WEST BENGAL,JALPAIGURI,2005,5711,1520,1217,2955,2256,699,2049,4556,3926,1564,4505,0,7406,37158,72567
WEST BENGAL,JALPAIGURI,2005,22,0,6,6,6,0,17,16,6,6,6,0,13,51,149
WEST BENGAL,JALPAIGURI,2005,10,0,7,2,0,2,5,5,0,1,0,0,5,35,70
WEST BENGAL,JALPAIGURI,2005,9,2,4,5,3,2,1,44,14,6,1,0,17,97,200
WEST BENGAL,JALPAIGURI,2005,7,0,1,3,2,1,6,0,7,3,2,0,12,37,78
WEST BENGAL,JALPAIGURI,2005,42,5,23,45,39,6,24,123,108,8,86,0,137,414,1015
ANDHRA PRADESH,KARIMNAGAR,2006,19,0,28,16,13,3,12,46,25,2,38,0,1,120,307
ANDHRA PRADESH,KARIMNAGAR,2006,53,0,30,12,9,3,33,80,18,36,12,0,3,703,980
ANDHRA PRADESH,KARIMNAGAR,2006,84,0,53,35,32,3,61,87,56,10,20,0,371,780,1557
ANDHRA PRADESH,KARIMNAGAR,2006,56,1,58,62,46,16,218,469,91,35,59,0,158,1422,2629
ANDHRA PRADESH,KARIMNAGAR,2006,43,6,57,37,36,1,23,84,37,5,54,0,96,654,1096
ANDHRA PRADESH,KARIMNAGAR,2006,49,2,17,8,8,0,3,19,14,3,8,0,16,185,324
ANDHRA PRADESH,KARIMNAGAR,2006,84,8,88,38,37,1,46,113,17,25,61,0,114,976,1570
ANDHRA PRADESH,KARIMNAGAR,2006,35,0,17,21,16,5,13,72,27,12,12,0,34,285,528
ANDHRA PRADESH,KARIMNAGAR,2006,16,0,24,17,17,0,8,32,27,5,17,0,39,357,542
ANDHRA PRADESH,KARIMNAGAR,2006,13,3,9,6,3,3,10,34,25,6,17,0,15,391,529
ANDHRA PRADESH,KARIMNAGAR,2006,29,0,19,33,29,4,67,183,51,30,17,0,88,1403,1920
ANDHRA PRADESH,KARIMNAGAR,2006,37,0,22,13,10,3,18,35,54,7,23,12,72,416,709
ANDHRA PRADESH,KHAMMAM,2006,180,35,45,93,81,12,50,118,99,31,196,0,270,1475,2592
ANDHRA PRADESH,KHAMMAM,2006,30,15,10,15,15,0,9,32,23,12,30,0,43,285,504
ANDHRA PRADESH,KHAMMAM,2006,86,17,25,51,46,5,22,31,44,18,105,0,122,252,773
ANDHRA PRADESH,KHAMMAM,2006,177,19,27,69,49,20,28,49,67,33,102,0,219,1024,1814
ANDHRA PRADESH,KHAMMAM,2006,27,16,3,15,12,3,5,18,8,12,41,0,0,220,365
ANDHRA PRADESH,KHAMMAM,2006,36,7,13,7,3,4,3,25,11,9,8,0,34,130,283
ANDHRA PRADESH,KHAMMAM,2006,32,22,5,19,14,5,14,54,58,23,23,0,46,392,688
ANDHRA PRADESH,KHAMMAM,2006,138,32,28,64,26,38,20,44,55,46,55,0,218,610,1310
ANDHRA PRADESH,KHAMMAM,2006,80,13,10,66,36,30,35,29,7,30,30,0,169,708,1177
ANDHRA PRADESH,KHAMMAM,2006,45,14,14,34,28,6,30,79,37,12,54,0,115,358,792
ANDHRA PRADESH,KHAMMAM,2006,85,21,9,38,24,14,17,32,27,37,30,0,20,365,681
ANDHRA PRADESH,KHAMMAM,2006,87,32,9,22,20,2,11,46,11,27,18,0,131,457,851
ARUNACHAL PRADESH,K/KUMEY,2006,10,1,3,6,4,2,0,32,73,1,26,0,55,384,591
ARUNACHAL PRADESH,K/KUMEY,2006,10,4,9,18,13,5,2,80,75,1,21,0,69,680,969
ARUNACHAL PRADESH,K/KUMEY,2006,6,7,9,6,6,0,0,64,28,1,18,0,52,466,657
ARUNACHAL PRADESH,K/KUMEY,2006,111,20,113,130,109,21,29,754,566,3,259,0,499,7760,10244
ARUNACHAL PRADESH,K/KUMEY,2006,23,3,22,88,81,7,12,165,103,0,0,0,10,745,1171
ARUNACHAL PRADESH,K/KUMEY,2006,19,0,9,12,12,0,8,29,12,0,0,0,0,183,272
ARUNACHAL PRADESH,K/KUMEY,2006,63,3,15,111,101,10,10,140,120,0,1,0,0,738,1201
ARUNACHAL PRADESH,K/KUMEY,2006,9,0,6,12,8,4,0,16,21,1,4,0,0,403,472
ARUNACHAL PRADESH,K/KUMEY,2006,12,3,5,54,53,1,8,82,129,0,1,0,18,472,784
ARUNACHAL PRADESH,K/KUMEY,2006,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4
ARUNACHAL PRADESH,KAMENG EAST,2006,24,5,12,9,6,3,26,16,46,2,4,0,15,213,372
ARUNACHAL PRADESH,KAMENG EAST,2006,33,2,21,13,10,3,22,18,28,0,29,0,26,132,324
ARUNACHAL PRADESH,KAMENG EAST,2006,41,5,28,19,17,2,9,13,95,3,34,0,23,113,383
ARUNACHAL PRADESH,KAMENG EAST,2006,90,3,32,28,10,18,33,79,136,19,32,0,0,305,757
ARUNACHAL PRADESH,KAMENG EAST,2006,253,16,79,94,40,54,190,221,229,14,40,4,320,1668,3128
ARUNACHAL PRADESH,KAMENG EAST,2006,36,0,53,22,15,7,12,30,54,5,12,0,20,303,547
ARUNACHAL PRADESH,KAMENG EAST,2006,52,2,17,14,4,10,25,38,30,2,15,0,34,417,646
ARUNACHAL PRADESH,KAMENG EAST,2006,69,1,29,9,9,0,17,16,9,2,4,0,0,168,324
ARUNACHAL PRADESH,KAMENG EAST,2006,1492,97,799,635,410,225,779,1428,2650,281,668,5,1154,13667,23655
ARUNACHAL PRADESH,KAMENG EAST,2006,35,1,12,20,13,7,20,85,147,3,59,0,0,1136,1518
ARUNACHAL PRADESH,KAMENG EAST,2006,218,7,33,99,29,70,647,1666,710,50,290,0,113,9941,13774
ARUNACHAL PRADESH,KAMENG EAST,2006,175,1,26,34,22,12,49,362,582,26,99,0,0,5026,6380
ARUNACHAL PRADESH,KAMENG WEST,2006,98,0,22,35,23,12,48,292,358,13,152,0,35,3243,4296
ARUNACHAL PRADESH,KAMENG WEST,2006,56,1,15,23,22,1,31,155,224,13,70,0,8,2497,3093
ARUNACHAL PRADESH,KAMENG WEST,2006,38,6,8,20,13,7,20,148,209,10,69,0,0,1532,2060
ARUNACHAL PRADESH,KAMENG WEST,2006,63,0,18,26,19,7,22,123,319,4,126,0,0,1426,2127
ARUNACHAL PRADESH,KAMENG WEST,2006,20,1,16,7,5,2,1,40,70,1,25,0,0,548,729
ARUNACHAL PRADESH,KAMENG WEST,2006,40,2,17,11,9,2,15,246,136,4,89,0,3,1443,2006
ARUNACHAL PRADESH,KAMENG WEST,2006,38,3,16,19,17,2,9,127,193,3,28,0,0,2000,2436
ARUNACHAL PRADESH,KAMENG WEST,2006,28,0,17,12,5,7,20,208,419,2,34,0,11,2407,3158
ARUNACHAL PRADESH,KAMENG WEST,2006,23,4,17,14,12,2,25,173,147,11,79,0,6,1322,1821
ARUNACHAL PRADESH,KAMENG WEST,2006,23,0,3,15,8,7,60,136,67,1,34,0,7,1075,1421
ARUNACHAL PRADESH,KAMENG WEST,2006,34,2,4,8,2,6,5,14,64,1,12,0,0,614,758
ARUNACHAL PRADESH,KAMENG WEST,2006,20,1,1,5,3,2,7,64,115,4,17,0,107,478,819
ASSAM,JORHAT,2006,43,0,1,18,12,6,13,167,41,0,32,0,0,1203,1518
ASSAM,JORHAT,2006,13,1,2,6,4,2,58,21,20,0,2,0,6,209,338
ASSAM,JORHAT,2006,1165,24,354,1128,945,183,970,5530,1534,50,4977,0,4339,66802,86873
ASSAM,JORHAT,2006,39,2,19,22,16,6,18,308,3,9,174,0,5,1078,1677
ASSAM,JORHAT,2006,45,0,35,34,26,8,21,180,159,19,100,0,7,988,1588
ASSAM,JORHAT,2006,58,7,40,86,66,20,36,369,138,14,146,0,12,1866,2772
ASSAM,JORHAT,2006,23,4,18,20,5,15,7,122,22,6,83,0,5,563,873
ASSAM,JORHAT,2006,20,1,1,1,1,0,6,0,7,6,0,0,14,381,437
ASSAM,JORHAT,2006,93,4,30,70,51,19,69,560,99,20,89,0,12,1771,2817
ASSAM,JORHAT,2006,58,3,23,31,26,5,21,223,51,17,158,0,2,1374,1961
ASSAM,JORHAT,2006,51,0,15,10,9,1,19,98,45,16,58,0,183,296,791
ASSAM,JORHAT,2006,42,6,32,15,7,8,6,107,103,13,53,0,1,685,1063
ASSAM,KAMRUP,2006,99,2,18,45,28,17,35,190,494,9,122,0,12,2239,3265
ASSAM,KAMRUP,2006,61,1,13,11,7,4,25,230,126,7,62,0,0,2280,2816
ASSAM,KAMRUP,2006,27,2,5,13,4,9,8,75,173,1,17,0,173,951,1445
ASSAM,KAMRUP,2006,14,0,3,8,6,2,5,67,37,4,10,0,0,287,435
ASSAM,KAMRUP,2006,27,1,6,6,1,5,2,87,38,0,26,0,1,573,767
ASSAM,KAMRUP,2006,96,1,13,27,19,8,24,139,279,16,47,0,6,1487,2135
ASSAM,KAMRUP,2006,25,11,6,7,7,0,6,78,118,3,23,0,0,912,1189
ASSAM,KAMRUP,2006,58,3,19,14,13,1,14,177,192,8,89,0,0,2120,2694
ASSAM,KAMRUP,2006,33,0,15,8,5,3,107,139,71,10,94,0,0,1221,1698
ASSAM,KAMRUP,2006,60,4,10,8,2,6,5,119,155,13,66,0,0,1367,1807
ASSAM,KAMRUP,2006,32,5,13,18,12,6,13,136,204,6,85,0,13,1349,1874
ASSAM,KAMRUP,2006,22,0,0,2,0,2,9,2,5,2,1,0,0,53,96
ASSAM,KARBI ANGLONG,2006,7,5,31,2,0,2,3,200,0,0,1,0,20,175,444
ASSAM,KARBI ANGLONG,2006,2,1,12,0,0,0,1,42,0,0,0,0,6,0,64
ASSAM,KARBI ANGLONG,2006,4,0,8,2,0,2,0,32,0,0,0,0,0,97,143
ASSAM,KARBI ANGLONG,2006,3,0,1,0,0,0,0,14,0,0,0,0,0,41,59
ASSAM,KARBI ANGLONG,2006,2,0,9,0,0,0,1,78,0,0,0,0,0,35,125
ASSAM,KARBI ANGLONG,2006,5,1,2,1,0,1,3,14,0,0,0,0,0,11,37
ASSAM,KARBI ANGLONG,2006,1,0,5,1,1,0,1,17,0,0,0,0,0,86,111
ASSAM,KARBI ANGLONG,2006,1,0,4,0,0,0,1,25,0,0,0,0,0,9,40
ASSAM,KARBI ANGLONG,2006,25,7,72,6,1,5,10,422,0,0,1,0,26,454,1023
ASSAM,KARBI ANGLONG,2006,25,0,5,15,2,13,65,21,0,0,3,0,24,54,212
ASSAM,KARBI ANGLONG,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7
ASSAM,KARBI ANGLONG,2006,31,0,8,10,0,10,10,19,1,0,0,0,0,75,154
ASSAM,KARIMGANJ,2006,39,0,45,20,19,1,16,61,31,23,17,0,64,1033,1349
ASSAM,KARIMGANJ,2006,32,4,40,37,20,17,26,79,61,7,23,0,0,807,1116
ASSAM,KARIMGANJ,2006,8,0,4,3,2,1,5,23,15,1,9,0,0,107,175
ASSAM,KARIMGANJ,2006,44,0,46,56,51,5,90,288,65,49,36,0,519,1642,2835
ASSAM,KARIMGANJ,2006,9,0,18,7,5,2,18,40,21,2,13,0,35,161,324
ASSAM,KARIMGANJ,2006,34,0,32,13,8,5,49,81,98,12,23,0,73,753,1168
ASSAM,KARIMGANJ,2006,14,0,7,8,4,4,6,30,33,3,8,0,51,184,344
ASSAM,KARIMGANJ,2006,60,0,33,25,15,10,47,124,76,20,24,0,62,886,1357
ASSAM,KARIMGANJ,2006,25,3,12,21,19,2,30,60,21,17,8,0,149,481,827
ASSAM,KARIMGANJ,2006,48,0,35,39,36,3,46,128,64,29,31,0,115,904,1439
ASSAM,KARIMGANJ,2006,16,0,13,5,5,0,18,89,44,3,7,0,60,180,435
ASSAM,KARIMGANJ,2006,30,0,49,15,13,2,29,59,89,12,28,0,68,575,954
BIHAR,JAMUI,2006,134,2,44,91,58,33,19,218,183,17,327,0,405,2157,3597
BIHAR,JAMUI,2006,73,1,36,54,38,16,2,182,32,9,296,0,330,772,1787
BIHAR,JAMUI,2006,132,1,35,85,70,15,6,223,158,9,157,0,459,2113,3378
BIHAR,JAMUI,2006,191,17,67,73,62,11,28,190,125,33,287,0,618,1314,2943
BIHAR,JAMUI,2006,134,9,57,63,39,24,28,289,72,33,276,0,582,885,2428
BIHAR,JAMUI,2006,132,4,61,86,71,15,31,209,208,40,395,0,638,2977,4781
BIHAR,JAMUI,2006,78,5,35,69,49,20,21,192,97,10,294,0,365,1046,2212
BIHAR,JAMUI,2006,110,11,36,71,46,25,43,329,139,18,431,0,371,998,2557
BIHAR,JAMUI,2006,92,3,23,83,68,15,30,279,99,8,249,0,395,1437,2698
BIHAR,JAMUI,2006,57,5,9,29,10,19,7,85,33,15,67,0,168,332,807
BIHAR,JAMUI,2006,11,0,2,3,1,2,8,0,0,2,1,0,3,32,62
BIHAR,JAMUI,2006,46,6,27,21,21,0,2,119,71,3,188,0,208,720,1411
BIHAR,JEHANABAD,2006,72,4,63,91,70,21,25,72,8,1,76,0,75,236,723
BIHAR,JEHANABAD,2006,60,4,33,151,108,43,130,461,169,6,150,0,214,860,2238
BIHAR,JEHANABAD,2006,18,1,23,56,48,8,2,52,145,1,49,0,19,394,760
BIHAR,JEHANABAD,2006,37,0,30,54,52,2,23,81,27,0,56,0,121,347,776
BIHAR,JEHANABAD,2006,43,0,37,80,60,20,25,107,64,10,115,0,59,361,901
BIHAR,JEHANABAD,2006,42,1,14,40,18,22,16,21,37,2,11,0,67,188,439
BIHAR,JEHANABAD,2006,38,2,44,46,46,0,5,81,215,4,74,0,46,210,765
BIHAR,JEHANABAD,2006,38,0,29,47,39,8,11,47,48,14,69,0,56,144,503
BIHAR,JEHANABAD,2006,43,0,79,96,93,3,3,70,125,6,110,0,116,319,967
BIHAR,JEHANABAD,2006,27,1,58,56,56,0,10,44,81,10,60,0,51,364,762
BIHAR,JEHANABAD,2006,18,0,4,14,9,5,2,10,11,0,24,0,15,49,147
BIHAR,JEHANABAD,2006,83,2,133,179,177,2,56,278,260,8,278,0,324,781,2382
BIHAR,KATIHAR,2006,67,0,39,38,35,3,15,185,10,16,457,0,146,1669,2642
BIHAR,KATIHAR,2006,44,1,31,24,14,10,13,104,4,10,257,0,92,1332,1912
BIHAR,KATIHAR,2006,18,1,19,55,51,4,20,289,173,6,156,0,193,2210,3140
BIHAR,KATIHAR,2006,22,0,18,48,48,0,12,140,64,8,151,0,126,1435,2024
BIHAR,KATIHAR,2006,59,4,34,85,57,28,15,181,158,14,169,0,605,4203,5527
BIHAR,KATIHAR,2006,19,1,21,57,38,19,14,199,63,9,144,0,185,1764,2476
BIHAR,KATIHAR,2006,4,0,1,7,3,4,4,52,16,5,15,1,45,500,650
BIHAR,KATIHAR,2006,21,2,10,23,17,6,5,73,12,10,81,0,84,1357,1678
BIHAR,KATIHAR,2006,28,3,42,66,51,15,17,116,41,10,189,0,100,975,1587
BIHAR,KATIHAR,2006,34,0,44,20,13,7,6,125,29,17,157,0,118,1883,2433
BIHAR,KATIHAR,2006,15,0,18,37,28,9,26,237,19,10,209,0,132,843,1546
BIHAR,KATIHAR,2006,29,2,19,21,15,6,12,98,26,17,58,0,169,550,1001
BIHAR,KATIHAR RLY.,2006,21,2,29,59,31,28,10,34,12,19,99,0,82,2313,2680
BIHAR,KATIHAR RLY.,2006,11,4,18,85,70,15,40,186,10,12,272,0,101,1661,2400
BIHAR,KATIHAR RLY.,2006,21,1,19,27,19,8,9,81,20,4,132,0,85,980,1379
BIHAR,KATIHAR RLY.,2006,56,4,35,49,37,12,19,142,12,12,221,0,182,2602,3334
BIHAR,KATIHAR RLY.,2006,35,3,30,68,62,6,24,216,20,10,220,0,256,2566,3448
BIHAR,KATIHAR RLY.,2006,12,2,6,36,30,6,17,107,35,2,159,0,141,481,998
BIHAR,KATIHAR RLY.,2006,24,1,20,47,35,12,19,104,5,7,136,0,76,2264,2703
BIHAR,KATIHAR RLY.,2006,45,1,29,60,34,26,11,150,53,9,165,0,238,2123,2884
BIHAR,KATIHAR RLY.,2006,17,1,20,26,25,1,7,95,35,7,99,0,141,645,1093
BIHAR,KATIHAR RLY.,2006,17,1,12,56,50,6,11,78,54,5,249,2,170,1330,1985
BIHAR,KATIHAR RLY.,2006,55,11,74,121,98,23,41,263,220,7,258,0,325,2214,3589
BIHAR,KATIHAR RLY.,2006,1209,79,1085,1970,1553,417,631,5085,1767,394,7038,3,6234,61379,86874
BIHAR,KHAGARIA,2006,177,37,49,122,90,32,66,110,206,50,179,0,74,1118,2188
BIHAR,KHAGARIA,2006,132,39,22,75,64,11,40,187,83,46,156,0,310,1321,2411
BIHAR,KHAGARIA,2006,24,12,10,48,42,6,19,52,35,15,83,0,56,184,538
BIHAR,KHAGARIA,2006,56,17,10,42,25,17,29,29,27,22,22,0,115,321,690
BIHAR,KHAGARIA,2006,64,30,13,21,20,1,57,71,58,29,68,0,0,545,956
BIHAR,KHAGARIA,2006,169,54,29,64,42,22,15,41,21,33,34,0,8,838,1306
BIHAR,KHAGARIA,2006,95,9,12,43,27,16,30,43,39,12,60,0,95,286,724
BIHAR,KHAGARIA,2006,56,18,21,44,33,11,11,51,41,24,35,0,64,451,816
BIHAR,KHAGARIA,2006,35,22,10,11,8,3,8,53,52,11,20,0,27,195,444
BIHAR,KHAGARIA,2006,14,8,8,15,11,4,6,16,9,9,15,0,25,113,238
BIHAR,KHAGARIA,2006,50,16,15,14,9,5,11,46,26,17,15,0,5,399,614
BIHAR,KHAGARIA,2006,79,10,21,52,49,3,24,56,40,25,67,0,20,732,1126
CHHATTISGARH,JANJGIR,2006,43,6,21,86,60,26,34,392,11,8,336,0,246,729,1912
CHHATTISGARH,JANJGIR,2006,2,0,0,0,0,0,2,0,2,0,0,0,3,44,53
CHHATTISGARH,JANJGIR,2006,65,1,6,11,11,0,6,96,49,4,158,0,418,384,1198
CHHATTISGARH,JANJGIR,2006,37,1,21,49,40,9,27,417,28,10,397,0,247,2095,3329
CHHATTISGARH,JANJGIR,2006,35,0,16,20,16,4,8,89,50,5,171,0,218,1429,2041
CHHATTISGARH,JANJGIR,2006,116,2,50,103,78,25,19,319,464,40,480,0,487,2577,4657
CHHATTISGARH,JANJGIR,2006,59,0,53,96,50,46,19,275,52,23,4,0,452,1623,2656
CHHATTISGARH,JANJGIR,2006,2766,123,1049,2030,1329,701,679,8304,2916,519,9164,0,11489,43722,82761
CHHATTISGARH,JANJGIR,2006,3,1,4,4,4,0,4,21,0,0,2,0,4,42,85
CHHATTISGARH,JANJGIR,2006,2,0,2,2,2,0,6,14,1,0,0,0,3,42,72
CHHATTISGARH,JANJGIR,2006,5,0,2,3,2,1,0,5,0,0,0,0,2,10,27
CHHATTISGARH,JANJGIR,2006,3,0,1,3,0,3,2,17,0,0,0,0,1,37,64
CHHATTISGARH,JASHPUR,2006,4,0,2,2,2,0,6,18,2,0,0,0,14,23,71
CHHATTISGARH,JASHPUR,2006,9,0,3,10,8,2,12,15,0,0,1,0,14,34,98
CHHATTISGARH,JASHPUR,2006,10,1,5,20,10,10,18,73,1,0,2,0,17,113,260
CHHATTISGARH,JASHPUR,2006,2,0,7,6,4,2,12,30,0,0,1,0,5,48,111
CHHATTISGARH,JASHPUR,2006,1,0,2,2,2,0,0,9,0,0,1,0,2,16,33
CHHATTISGARH,JASHPUR,2006,6,1,0,7,7,0,3,17,0,0,4,0,4,71,113
CHHATTISGARH,JASHPUR,2006,4,0,3,5,3,2,6,5,2,0,0,0,4,29,58
CHHATTISGARH,JASHPUR,2006,4,0,2,4,4,0,3,12,0,0,3,0,4,53,85
CHHATTISGARH,JASHPUR,2006,0,0,0,0,0,0,0,7,0,0,0,0,5,14,26
CHHATTISGARH,JASHPUR,2006,7,0,4,7,3,4,2,12,0,1,0,0,1,29,63
CHHATTISGARH,JASHPUR,2006,0,0,0,0,0,0,0,2,0,0,0,0,2,4,8
CHHATTISGARH,JASHPUR,2006,60,3,37,75,51,24,74,257,6,1,14,0,82,565,1174
CHHATTISGARH,KABIRDHAM,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHHATTISGARH,KABIRDHAM,2006,65,3,10,36,31,5,5,46,17,0,8,0,4,466,660
CHHATTISGARH,KABIRDHAM,2006,20,0,4,35,34,1,0,50,65,0,0,0,21,192,387
CHHATTISGARH,KABIRDHAM,2006,17,10,8,27,23,4,4,20,46,0,2,0,0,184,318
CHHATTISGARH,KABIRDHAM,2006,25,10,21,58,52,6,0,170,64,3,41,0,91,2082,2565
CHHATTISGARH,KABIRDHAM,2006,1,0,0,4,4,0,0,9,3,0,1,0,9,68,95
CHHATTISGARH,KABIRDHAM,2006,6,1,12,27,26,1,3,54,31,3,12,0,2,790,941
CHHATTISGARH,KABIRDHAM,2006,36,1,14,47,46,1,11,52,57,0,1,0,20,248,487
CHHATTISGARH,KABIRDHAM,2006,16,1,11,31,27,4,0,21,53,0,2,0,0,263,398
CHHATTISGARH,KABIRDHAM,2006,2,1,3,5,5,0,0,16,4,0,0,0,0,148,179
CHHATTISGARH,KABIRDHAM,2006,30,0,21,21,20,1,0,26,75,0,12,0,1,341,527
CHHATTISGARH,KANKER,2006,44,0,40,4,1,3,27,108,17,40,51,0,52,620,1003
CHHATTISGARH,KANKER,2006,50,0,23,18,7,11,48,115,27,12,21,0,67,1121,1502
